"Hole_Id","Project_Id","Easting","Northing","Elevation","Td","CAMPANA","Drill_Type","Start_Date","End_Date","HL_MOD2025","Collar_Type","Start_Year"
"AD24-0132A","QE",327195.02900000,8109082.56500000,3675.26300000,60.00000000,"AD2024","RC",3/4/2024 00:00:00,3/4/2024 00:00:00,1,"DDH",2024
"AD24-0138","QE",327225.02100000,8109050.46300000,3691.11000000,75.00000000,"AD2024","RC",9/2/2024 00:00:00,9/2/2024 00:00:00,1,"DDH",2024
"AD24-0141","QE",327239.83600000,8109010.65900000,3645.29700000,60.00000000,"AD2024","RC",13/6/2024 00:00:00,13/6/2024 00:00:00,1,"DDH",2024
"AD24-0142A","QE",327241.78600000,8109040.64900000,3675.11600000,60.00000000,"AD2024","RC",3/4/2024 00:00:00,3/4/2024 00:00:00,1,"DDH",2024
"AD24-0143","QE",327244.73200000,8109051.89200000,3690.60900000,75.00000000,"AD2024","RC",9/2/2024 00:00:00,9/2/2024 00:00:00,1,"DDH",2024
"AD24-0151","QE",327259.08600000,8109038.79500000,3644.89300000,37.00000000,"AD2024","RC",13/6/2024 00:00:00,13/6/2024 00:00:00,1,"DDH",2024
"AD24-0153","QE",327257.40600000,8109001.90700000,3645.11000000,60.00000000,"AD2024","RC",14/6/2024 00:00:00,14/6/2024 00:00:00,1,"DDH",2024
"AD24-0155","QE",327277.41000000,8109013.75800000,3644.89800000,60.00000000,"AD2024","RC",14/6/2024 00:00:00,14/6/2024 00:00:00,1,"DDH",2024
"AD24-0163","QE",327324.74400000,8109057.93100000,3689.61000000,75.00000000,"AD2024","RC",9/2/2024 00:00:00,9/2/2024 00:00:00,1,"DDH",2024
"AD24-0165","QE",327297.78200000,8109007.10800000,3644.98600000,60.00000000,"AD2024","RC",14/6/2024 00:00:00,14/6/2024 00:00:00,1,"DDH",2024
"AD24-0167","QE",327311.62000000,8108957.22100000,3646.51200000,75.00000000,"AD2024","RC",19/6/2024 00:00:00,19/6/2024 00:00:00,1,"DDH",2024
"AD24-0177","QE",327343.06600000,8109038.30800000,3674.92200000,105.00000000,"AD2024","RC",1/4/2024 00:00:00,2/4/2024 00:00:00,1,"DDH",2024
"AD24-0179","QE",327338.39600000,8108996.06200000,3675.43100000,90.00000000,"AD2024","RC",1/4/2024 00:00:00,1/4/2024 00:00:00,1,"DDH",2024
"AD24-0183","QE",327359.21600000,8108924.10600000,3645.05900000,75.00000000,"AD2024","RC",15/6/2024 00:00:00,15/6/2024 00:00:00,1,"DDH",2024
"AD24-0184","QE",327361.70500000,8108952.30500000,3674.97800000,90.00000000,"AD2024","RC",3/4/2024 00:00:00,3/4/2024 00:00:00,1,"DDH",2024
"AD24-0185","QE",327355.40700000,8108965.20200000,3675.26300000,90.00000000,"AD2024","RC",3/4/2024 00:00:00,3/4/2024 00:00:00,1,"DDH",2024
"AD24-0186","QE",327361.79600000,8108979.76600000,3675.29900000,60.00000000,"AD2024","RC",2/4/2024 00:00:00,2/4/2024 00:00:00,1,"DDH",2024
"AD24-0187","QE",327360.60200000,8108997.54100000,3675.27000000,60.00000000,"AD2024","RC",2/4/2024 00:00:00,2/4/2024 00:00:00,1,"DDH",2024
"AD24-0188","QE",327362.30600000,8109018.19400000,3675.40700000,60.00000000,"AD2024","RC",2/4/2024 00:00:00,3/4/2024 00:00:00,1,"DDH",2024
"AD24-0194","QE",327365.50900000,8109023.45800000,3675.10200000,90.00000000,"AD2024","RC",30/3/2024 00:00:00,31/3/2024 00:00:00,1,"DDH",2024
"AD24-0196","QE",327377.42400000,8108998.37200000,3675.06800000,72.00000000,"AD2024","RC",31/3/2024 00:00:00,1/4/2024 00:00:00,1,"DDH",2024
"AD24-0202","QE",326500.02000000,8109107.17800000,3659.57600000,90.00000000,"AD2024","RC",4/5/2024 00:00:00,5/5/2024 00:00:00,1,"DDH",2024
"AD24-0207","QE",327187.46700000,8107783.25400000,3720.48000000,60.00000000,"AD2024","RC",5/1/2024 00:00:00,5/1/2024 00:00:00,1,"DDH",2024
"AD24-0207A","QE",326520.03900000,8109113.47600000,3659.55200000,90.00000000,"AD2024","RC",5/5/2024 00:00:00,5/5/2024 00:00:00,1,"DDH",2024
"AD24-0208","QE",327201.26200000,8107776.18000000,3719.72900000,60.00000000,"AD2024","RC",4/1/2024 00:00:00,4/1/2024 00:00:00,1,"DDH",2024
"AD24-0214","QE",326540.00000000,8109120.00000000,3659.79400000,90.00000000,"AD2024","RC",5/5/2024 00:00:00,6/5/2024 00:00:00,1,"DDH",2024
"AD24-0215","QE",326540.00000000,8109140.00000000,3659.89600000,90.00000000,"AD2024","RC",7/5/2024 00:00:00,7/5/2024 00:00:00,1,"DDH",2024
"AD24-0216","QE",327188.93900000,8107789.15400000,3721.11000000,60.00000000,"AD2024","RC",10/1/2024 00:00:00,10/1/2024 00:00:00,1,"DDH",2024
"AD24-0234","QE",327102.60600000,8107866.04000000,3661.42000000,60.00000000,"AD2024","RC",23/1/2024 00:00:00,23/1/2024 00:00:00,1,"DDH",2024
"AD24-0237","QE",326580.08300000,8109223.69700000,3677.25500000,90.00000000,"AD2024","RC",16/3/2024 00:00:00,18/3/2024 00:00:00,1,"DDH",2024
"AD24-0238","QE",326596.03800000,8109220.71800000,3677.16600000,90.00000000,"AD2024","RC",19/3/2024 00:00:00,19/3/2024 00:00:00,1,"DDH",2024
"AD24-0245","QE",327308.05400000,8107891.27500000,3677.97600000,60.00000000,"AD2024","RC",18/1/2024 00:00:00,19/1/2024 00:00:00,1,"DDH",2024
"AD24-0246","QE",327266.95700000,8107882.91600000,3673.91100000,60.00000000,"AD2024","RC",23/1/2024 00:00:00,23/1/2024 00:00:00,1,"DDH",2024
"AD24-0247","QE",327272.57500000,8107900.54400000,3675.11500000,60.00000000,"AD2024","RC",19/1/2024 00:00:00,19/1/2024 00:00:00,1,"DDH",2024
"AD24-0249","QE",327161.13300000,8107906.07400000,3655.34900000,60.00000000,"AD2024","RC",15/1/2024 00:00:00,15/1/2024 00:00:00,1,"DDH",2024
"AD24-0250","QE",327144.74100000,8107905.71000000,3656.85900000,60.00000000,"AD2024","RC",12/1/2024 00:00:00,12/1/2024 00:00:00,1,"DDH",2024
"AD24-0251","QE",327099.94200000,8107900.13800000,3660.08800000,60.00000000,"AD2024","RC",17/1/2024 00:00:00,17/1/2024 00:00:00,1,"DDH",2024
"AD24-0252","QE",327079.96500000,8107899.96000000,3661.05900000,60.00000000,"AD2024","RC",18/1/2024 00:00:00,18/1/2024 00:00:00,1,"DDH",2024
"AD24-0254","QE",326618.21500000,8109235.87700000,3676.81000000,93.00000000,"AD2024","RC",20/3/2024 00:00:00,22/3/2024 00:00:00,1,"DDH",2024
"AD24-0255","QE",326614.26400000,8109218.18200000,3677.38400000,90.00000000,"AD2024","RC",19/3/2024 00:00:00,20/3/2024 00:00:00,1,"DDH",2024
"AD24-0258","QE",327174.73700000,8107916.54800000,3653.73600000,60.00000000,"AD2024","RC",15/1/2024 00:00:00,15/1/2024 00:00:00,1,"DDH",2024
"AD24-0259","QE",327192.40600000,8107918.87600000,3652.33000000,60.00000000,"AD2024","RC",16/1/2024 00:00:00,16/1/2024 00:00:00,1,"DDH",2024
