X,Y,ID
327498.845,8108119.196,AD2024
327520.058,8108140.888,AD2024
327541.689,8108119.238,AD2024
327560.876,8108119.738,AD2024
327559.928,8108099.654,AD2024
327559.337,8108079.869,AD2024
327581.042,8108100.547,AD2024
327022.821,8107939.405,AD2024
327319.344,8107859.696,AD2024
327339.87,8107860.024,AD2024
327359.686,8107860.156,AD2024
327360.543,8107877.593,AD2024
327399.877,8107879.536,AD2024
327399.428,8107819.842,AD2024
327420.495,8107839.767,AD2024
327444.175,8107860.287,AD2024
327439.755,8107875.975,AD2024
327459.527,8107878.311,AD2024
327460.258,8107900.249,AD2024
327482.618,8107943.953,AD2024
327485.654,8107959.097,AD2024
327981.178,8107896.65,AD2024
327999.962,8107899.767,AD2024
327960.072,8107881.112,AD2024
327979.871,8107880.511,AD2024
328286.875,8107610.77,GEOMET
327518.632,8108085.758,GEOMET
327329.191,8108353.173,EXPLO2018
326820.004,8108961.403,EXPLO2018
327561.022,8107824.729,EXPLO2018
327094.139,8108916.405,EXPLO2018
327094.459,8108914.561,EXPLO2018
327734.342,8108680.688,EXPLO2024
327734.342,8108680.688,EXPLO2024
327095.634,8109360.56,EXPLO2024
327095.634,8109360.56,EXPLO2024
327386.073,8109076.415,GEOMET
327205.748,8108987.447,GEOMET
326539.75,8108974.575,GEOMET
326744.577,8109266.513,GEOMET
327112.977,8109214.295,GEOMET
326847.173,8109108.885,GEOMET
327030.122,8108951.62,GEOMET
327116.175,8108837.542,GEOMET
327279.84,8108770.101,GEOMET
326763.085,8108645.684,GEOMET
327194.173,8108760.244,GEOMET
327298.442,8107889.584,GEOMET
328235.48,8108020.694,GEOMET
327771.64,8107895.392,GEOMET
327602.902,8107536.414,GEOMET
327124.477,8108195.172,GEOMET
327484.178,8108379.602,GEOMET
327740.365,8108096.196,GEOMET
327994.771,8108023.844,GEOMET
327768.157,8107992.898,GEOMET
327620.187,8108310.371,GEOMET
327701.587,8108234.525,GEOMET
327557.836,8108632.941,GEOMET
327984.174,8107940.814,GEOMET
328073.18,8108304.108,GEOMET
326758.936,8108645.238,GEOMET
327286.559,8108481.362,GEOMET
326333.04,8109326.5,GEOTEC2019
326909.3,8109537.04,GEOTEC2019
327185.76,8109133.11,GEOTEC2019
327328.7,8109189.59,GEOTEC2019
326827.38,8108677.44,GEOTEC2019
326933.08,8109397.81,GEOTEC2019
327737.33,8108965.27,GEOTEC2019
327472.67,8107638.17,GEOTEC2019
327335.446,8109192.693,GEOTEC2019
327506.47,8108105.83,GEOTEC2019
327411.8,8108493.65,GEOTEC2019
327088.85,8108034.91,GEOTEC2019
328097.22,8107798.04,GEOTEC2019
327417.6,8108389.64,GEOTEC2019
326933.14,8108207.37,GEOTEC2019
327713.747,8108636.571,GEOTECNIA2021
327195.539,8109508.375,GEOTECNIA2021
327193.244,8109508.474,GEOTECNIA2021
327190.969,8109509.555,GEOTECNIA2021
327243.065,8109999.616,GEOTECNIA2021
326784.648,8110075.479,GEOTECNIA2021
326784.121,8110073.038,GEOTECNIA2021
327924.039,8109559.345,GEOTECNIA2021
326533.54,8108523.42,GEOTECNIA2021
326393.006,8109688.968,GEOTECNIA2021
327815.914,8107679.268,GEOTECNIA2021
327272.735,8108942.397,GEOTECNIA2021
327542.323,8107536.35,GEOTECNIA2021
326496.178,8108901.991,GEOTECNIA2021
327272.8,8108942.941,GEOTECNIA2021
326826.622,8109467.141,GEOTECNIA2021
325857.547,8109489.668,GEOTECNIA2021
327629.89,8109841.73,GEOTECNIA2021
326947.762,8109930.843,GEOTECNIA2021
326747.892,8109675.377,GEOTECNIA2021
327007.344,8107583.109,GEOTECNIA2021
327954.309,8108155.662,GEOTECNIA2021
326486.943,8108904.794,GEOTECNIA2021
326536.407,8108582.194,GEOTECNIA2021
326536.407,8108582.194,GEOTECNIA2021
326437.037,8109461.875,GEOTECNIA2021
327673.296,8109601.467,GEOTECNIA2021
326739.072,8109273.581,GEOTECNIA2021
326739.156,8109272.592,GEOTECNIA2021
327286.76,8108484.777,GEOTECNIA2021
327606.041,8108648.908,GEOTECNIA2021
327437.628,8109931.565,GEOTECNIA2021
327383.19,8108710.64,GEOTECNIA2021
327114.062,8108480.987,GEOTECNIA2021
327710.23,8108382.242,GEOTECNIA2021
327180.927,8108694.083,GEOTECNIA2021
326831.911,8108719.58,GEOTECNIA2021
326551.598,8108744.26,GEOTECNIA2021
328161.473,8107911.912,GEOTECNIA2024
327989.164,8107581.481,GEOTECNIA2024
328119.914,8107719.822,GEOTECNIA2024
328027.254,8108036.421,GEOTECNIA2024
327535.846,8109300.95,GEOTECNIA2024
327741.671,8108086.683,GEOTECNIA2024
327334.945,8108313.64,GEOTECNIA2024
327155.9,8109351.872,GEOTECNIA2024
326778.361,8108982.772,GEOTECNIA2024
327337.594,8109279.768,GEOTECNIA2024
327336.932,8109279.399,GEOTECNIA2024
328150.94,8108046.565,GEOTECNIA2024
326832.722,8109656.933,GEOTECNIA2024
327053.315,8109389.971,GEOTECNIA2024
327158.854,8109153.485,GEOTECNIA2024
327335.794,8108981.371,GEOTECNIA2024
327182.889,8109047.734,GEOTECNIA2024
327549.287,8109260.765,GEOTECNIA2024
327542.036,8107540.111,INFILL2022
328287.778,8107714.163,INFILL2022
327921.877,8107675.612,INFILL2022
328045.815,8107789.287,INFILL2022
328329.419,8107852.014,INFILL2022
328254.461,8108141.799,INFILL2022
326513.93,8108794.676,INFILL2022
327279.251,8108729.301,INFILL2022
327272.561,8108937.467,INFILL2022
327149.016,8108400.07,INFILL2022
326510.149,8108804.696,INFILL2022
326481.765,8108900.201,INFILL2022
326509.434,8108794.606,INFILL2022
326478.515,8108903.663,INFILL2022
326824.23,8108097.765,INFILL2023
326813.191,8108145.571,INFILL2023
326789.793,8108198.158,INFILL2023
326831.693,8108197.14,INFILL2023
326650.128,8109182.428,INFILL2023
326550.134,8109191.241,INFILL2023
326838.439,8109113.014,INFILL2023
326792.219,8109131.471,INFILL2023
326693.055,8109167.899,INFILL2023
327121.281,8107874.688,INFILL2023
327373.849,8108056.682,INFILL2023
327454.434,8107950.367,INFILL2023
327205.184,8107762.931,INFILL2023
327644.824,8107667.054,INFILL2023
327337.447,8107560.249,INFILL2023
327337.034,8107559.16,INFILL2023
327712.537,8107684.362,INFILL2023
327210.951,8107686.605,INFILL2023
327360.758,8107761.547,INFILL2023
327501.257,8107812.31,INFILL2023
327230.692,8107728.401,INFILL2023
327600.593,8107741.712,INFILL2023
327435.496,8107807.526,INFILL2023
327244.215,8107787.652,INFILL2023
327557.6,8107788.327,INFILL2023
327383.818,8107923.096,INFILL2023
327685.259,8107638.096,INFILL2023
327066.77,8108008.366,INFILL2023
327316.195,8107811.418,INFILL2023
327791.372,8107639.95,INFILL2023
327771.181,8107795.626,INFILL2023
327773.693,8107601.403,INFILL2023
327967.612,8107744.215,INFILL2023
327979.641,8107690.674,INFILL2023
328003.118,8107730.714,INFILL2023
326928.303,8107947.919,INFILL2023
327221.83,8107642.934,INFILL2023
327241.888,8107593.769,INFILL2023
326977.67,8107969.618,INFILL2023
327169.93,8108024.013,INFILL2023
327326.079,8107672.691,INFILL2023
328043.583,8107826.718,INFILL2023
327255.224,8108044.642,INFILL2023
328073.88,8107797.442,INFILL2023
328091.599,8107840.025,INFILL2023
327376.901,8107843.042,INFILL2023
328160.965,8107912.838,INFILL2023
327246.885,8107875.531,INFILL2023
327240.519,8107937.327,INFILL2023
327770.147,8108159.474,INFILL2023
327288.828,8107885.291,INFILL2023
326770.91,8108259.479,INFILL2024
326766.7,8108296.026,INFILL2024
326960.137,8108491.707,INFILL2024
327006.064,8108451.062,INFILL2024
327185.223,8107773.466,INFILL2024
327185.419,8107772.813,INFILL2024
326933.782,8107990.815,INFILL2024
326934.028,8107998.842,INFILL2024
327170.666,8107864.191,INFILL2024
326886.278,8108001.028,INFILL2024
326943.857,8107873.644,INFILL2024
326942.966,8107874.018,INFILL2024
327270.354,8109050.117,INFILL2024
326853.283,8109112.582,INFILL2024
327270.433,8109049.593,INFILL2024
326799.726,8109129.95,INFILL2024
326665.667,8109137.302,INFILL2024
326740.612,8109156.155,INFILL2024
326708.111,8109121.709,INFILL2024
326690.36,8109126.713,INFILL2024
326666.685,8109138.291,INFILL2024
326656.675,8109179.817,INFILL2024
327270.33,8109050.036,INFILL2024
327395.166,8108992.278,INFILL2024
327272.715,8109047.109,INFILL2024
327395.048,8108993.123,INFILL2024
327455.601,8109040.197,INFILL2024
326988.955,8108980.1,INFILL2024
326955.191,8108986.477,INFILL2024
326988.976,8108982.582,INFILL2024
326526.671,8108905.067,INFILL2024
326692.035,8108991.892,INFILL2024
326456.17,8109146.186,INFILL2024
326778.3,8108982.799,INFILL2024
326828.731,8108883.467,INFILL2024
326637.214,8109243.086,INFILL2024
326601.198,8108940.005,INFILL2024
326686.578,8108923.891,INFILL2024
326591.248,8109215.726,INFILL2024
326788.311,8108898.09,INFILL2024
327464.946,8108936.067,INFILL2024
326568.896,8108983.214,INFILL2024
326896.918,8109096.207,INFILL2024
326871.934,8109092.424,INFILL2024
326997.32,8109077.933,INFILL2024
326630.15,8108993.706,INFILL2024
327095.382,8109048.927,INFILL2024
326600.327,8108941.736,INFILL2024
327028.881,8109044.911,INFILL2024
327029.99,8109045.809,INFILL2024
326568.697,8108982.527,INFILL2024
328029.154,8108039.43,INFILL2024
327933.543,8108034.025,INFILL2024
326664.2,8109177.063,INFILL2024
328124.824,8108044.634,INFILL2024
328046.683,8108189.778,INFILL2024
327986.103,8108202.978,INFILL2024
326514.284,8109150.206,INFILL2024
326453.832,8109144.155,INFILL2024
328045.827,8107896.212,INFILL2024
328130.678,8107906.985,INFILL2024
328011.139,8107838.233,INFILL2024
326514.774,8109150.697,INFILL2024
326453.629,8109144.092,INFILL2024
328082.977,8107972.964,INFILL2024
328147.544,8107952.944,INFILL2024
326540.391,8109180.156,INFILL2024
326453.196,8109143.747,INFILL2024
327709.462,8107730.658,INFILL2024
327745.003,8107764.734,INFILL2024
327728.785,8107594.206,INFILL2024
326629.878,8109196.357,INFILL2024
326556.306,8109152.886,INFILL2024
327712.501,8107732.828,INFILL2024
327869.031,8107684.562,INFILL2024
326489.68,8109232.251,INFILL2024
327802.652,8107755.135,INFILL2024
326540.304,8109259.08,INFILL2024
327772.56,8107699.441,INFILL2024
328042.237,8107939.721,INFILL2024
326738.913,8109156.478,INFILL2024
328093.333,8108094.904,INFILL2024
326732.917,8109110.683,INFILL2024
328055.501,8108095.953,INFILL2024
327952.034,8108156.876,INFILL2024
326866.481,8109132.955,INFILL2024
327822.558,8108234.82,INFILL2024
326824.702,8109148.068,INFILL2024
326825.302,8109148.534,INFILL2024
326794.64,8109080.881,INFILL2024
327766.326,8107991.001,INFILL2024
326588.341,8109176.551,INFILL2024
326429.399,8109058.358,INFILL2024
327981.85,8107938.404,INFILL2024
326849.867,8109033.732,INFILL2024
328015.33,8108150.483,INFILL2024
326801.753,8109046.667,INFILL2024
327889.788,8108005.962,INFILL2024
326866.008,8108869.104,INFILL2024
326644.391,8108935.617,INFILL2024
327181.094,8108543.181,INFILL2024
327322.85,8108516.007,INFILL2024
327694.738,8108170.588,INFILL2024
327221.691,8108537.669,INFILL2024
328044.157,8108188.301,INFILL2024
327222.11,8108538.371,INFILL2024
327858.475,8108233.122,INFILL2024
327831.802,8108194.509,INFILL2024
327285.764,8108490.827,INFILL2024
327940.154,8108036.023,INFILL2024
327477.588,8108504.162,INFILL2024
327940.168,8108035.872,INFILL2024
327507.554,8108606.871,INFILL2024
328144.041,8108155.542,INFILL2024
327812.408,8108347.623,INFILL2024
327660.373,8108457.112,INFILL2024
327811.483,8108346.856,INFILL2024
327152.853,8109151.637,INFILL2024
327789.979,8108299.355,INFILL2024
327657.904,8108456.814,INFILL2024
327673.279,8108040.4,INFILL2024
327700.534,8108368.297,INFILL2024
327962.847,8108277.217,INFILL2024
327153.038,8109151.799,INFILL2024
